id,left_sel,right_sel,gb_size,time_ms
"avg:cases:countriesandterritories:daterep:2020-04-10:2020-05-02",0.010207130053774148,0.010356502688707428,210,3.0
"avg:cases:countriesandterritories:daterep:2020-01-06:2020-05-03",0.0033359888468432585,0.010356502688707428,210,3.0
"avg:cases:countriesandterritories:daterep:2020-03-03:2020-05-04",0.0020414260107548296,0.010356502688707428,210,2.0
"avg:cases:countriesandterritories:daterep:2020-03-20:2020-05-05",0.008115913164708225,0.010356502688707428,210,2.0
"avg:cases:countriesandterritories:daterep:2020-03-20:2020-05-07",0.008115913164708225,0.010356502688707428,210,2.0
"avg:cases:countriesandterritories:daterep:2020-04-13:2020-05-07",0.010207130053774148,0.010356502688707428,210,2.0
"avg:cases:countriesandterritories:daterep:2020-01-15:2020-05-09",0.0033359888468432585,0.010356502688707428,210,2.0
"avg:cases:countriesandterritories:daterep:2020-04-01:2020-05-12",0.009858593905596494,0.010356502688707428,210,3.0
"avg:cases:countriesandterritories:daterep:2020-02-22:2020-05-13",0.0033359888468432585,0.010356502688707428,210,2.0
"avg:cases:countriesandterritories:daterep:2020-04-28:2020-05-14",0.010256920932085242,0.010356502688707428,210,3.0
"avg:cases:countriesandterritories:daterep:2020-04-30:2020-05-15",0.010256920932085242,0.010406293567018523,210,3.0
"avg:cases:countriesandterritories:daterep:2020-02-07:2020-05-16",0.0033359888468432585,0.010406293567018523,210,3.0
"avg:cases:countriesandterritories:daterep:2020-02-03:2020-05-17",0.0033359888468432585,0.010406293567018523,210,3.0
"avg:cases:countriesandterritories:daterep:2020-03-02:2020-05-17",0.0033359888468432585,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-03-17:2020-05-17",0.00687114120693089,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-03-04:2020-05-19",0.002290380402310297,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-03-19:2020-05-21",0.007418840868352918,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-01-13:2020-05-22",0.0033359888468432585,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-01-17:2020-05-22",0.0033359888468432585,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-02-10:2020-05-24",0.0033359888468432585,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-02-22:2020-05-25",0.0033359888468432585,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-02-27:2020-05-27",0.0033359888468432585,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-05-17:2020-05-27",0.010406293567018523,0.010406293567018523,210,2.0
"avg:cases:countriesandterritories:daterep:2020-01-24:2020-05-29",0.0033359888468432585,0.010356502688707428,210,2.0
"avg:cases:countriesandterritories:daterep:2020-05-08:2020-05-29",0.010356502688707428,0.010356502688707428,210,2.0
"avg:cases:countriesandterritories:daterep:2020-05-28:2020-05-29",0.010406293567018523,0.010356502688707428,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-06:2020-01-13",0.0033359888468432585,0.0033359888468432585,210,2.0
