country	year	month	day	vaccine	total_vaccinations	continent
Austria	2021	2021-5	2021-05-18	Moderna	461192	Europe
Austria	2021	2021-5	2021-05-18	Oxford/AstraZeneca	892843	Europe
Austria	2021	2021-5	2021-05-18	Pfizer/BioNTech	3246412	Europe
Austria	2021	2021-5	2021-05-25	Johnson&Johnson	37227	Europe
Austria	2021	2021-5	2021-05-25	Moderna	513294	Europe
Austria	2021	2021-5	2021-05-25	Oxford/AstraZeneca	974186	Europe
Austria	2021	2021-5	2021-05-25	Pfizer/BioNTech	3578357	Europe
Austria	2021	2021-6	2021-06-01	Johnson&Johnson	55944	Europe
Austria	2021	2021-6	2021-06-01	Moderna	564278	Europe
Austria	2021	2021-6	2021-06-01	Oxford/AstraZeneca	1039067	Europe
Austria	2021	2021-6	2021-06-01	Pfizer/BioNTech	3974462	Europe
Belgium	2021	2021-1	2021-01-05	Pfizer/BioNTech	27427	Europe
Belgium	2021	2021-1	2021-01-12	Moderna	4	Europe
Belgium	2021	2021-1	2021-01-12	Pfizer/BioNTech	125722	Europe
Belgium	2021	2021-1	2021-01-19	Moderna	4421	Europe
Belgium	2021	2021-1	2021-01-19	Pfizer/BioNTech	243315	Europe
Belgium	2021	2021-1	2021-01-26	Moderna	6077	Europe
Belgium	2021	2021-1	2021-01-26	Pfizer/BioNTech	331940	Europe
Belgium	2021	2021-2	2021-02-02	Moderna	15692	Europe
Belgium	2021	2021-2	2021-02-02	Oxford/AstraZeneca	0	Europe
Belgium	2021	2021-2	2021-02-02	Pfizer/BioNTech	459495	Europe
Belgium	2021	2021-2	2021-02-09	Moderna	25044	Europe
Belgium	2021	2021-2	2021-02-09	Oxford/AstraZeneca	309	Europe
Belgium	2021	2021-2	2021-02-09	Pfizer/BioNTech	594349	Europe
Belgium	2021	2021-2	2021-02-16	Moderna	29761	Europe
Belgium	2021	2021-2	2021-02-16	Oxford/AstraZeneca	10487	Europe
Belgium	2021	2021-2	2021-02-16	Pfizer/BioNTech	694388	Europe
Belgium	2021	2021-2	2021-02-23	Moderna	32145	Europe
Belgium	2021	2021-2	2021-02-23	Oxford/AstraZeneca	44663	Europe
Belgium	2021	2021-2	2021-02-23	Pfizer/BioNTech	782057	Europe
Belgium	2021	2021-3	2021-03-02	Moderna	50615	Europe
Belgium	2021	2021-3	2021-03-02	Oxford/AstraZeneca	108604	Europe
Belgium	2021	2021-3	2021-03-02	Pfizer/BioNTech	869303	Europe
Belgium	2021	2021-3	2021-03-09	Moderna	66313	Europe
Belgium	2021	2021-3	2021-03-09	Oxford/AstraZeneca	188566	Europe
Belgium	2021	2021-3	2021-03-09	Pfizer/BioNTech	964362	Europe
Belgium	2021	2021-3	2021-03-16	Moderna	88601	Europe
Belgium	2021	2021-3	2021-03-16	Oxford/AstraZeneca	347041	Europe
Belgium	2021	2021-3	2021-03-16	Pfizer/BioNTech	1073750	Europe
Belgium	2021	2021-3	2021-03-23	Moderna	98730	Europe
Belgium	2021	2021-3	2021-03-23	Oxford/AstraZeneca	454220	Europe
Belgium	2021	2021-3	2021-03-23	Pfizer/BioNTech	1268580	Europe
Belgium	2021	2021-3	2021-03-30	Moderna	126241	Europe
Belgium	2021	2021-3	2021-03-30	Oxford/AstraZeneca	513711	Europe
Belgium	2021	2021-3	2021-03-30	Pfizer/BioNTech	1525420	Europe
Belgium	2021	2021-4	2021-04-06	Moderna	173139	Europe
Belgium	2021	2021-4	2021-04-06	Oxford/AstraZeneca	593376	Europe
Belgium	2021	2021-4	2021-04-06	Pfizer/BioNTech	1840029	Europe
Belgium	2021	2021-4	2021-04-13	Johnson&Johnson	0	Europe
Belgium	2021	2021-4	2021-04-13	Moderna	207291	Europe
Belgium	2021	2021-4	2021-04-13	Oxford/AstraZeneca	773441	Europe
Belgium	2021	2021-4	2021-04-13	Pfizer/BioNTech	2116248	Europe
Belgium	2021	2021-4	2021-04-20	Moderna	258186	Europe
Belgium	2021	2021-4	2021-04-20	Oxford/AstraZeneca	830067	Europe
Belgium	2021	2021-4	2021-04-20	Pfizer/BioNTech	2431199	Europe
Belgium	2021	2021-4	2021-04-27	Johnson&Johnson	2705	Europe
Belgium	2021	2021-4	2021-04-27	Moderna	284041	Europe
Belgium	2021	2021-4	2021-04-27	Oxford/AstraZeneca	894993	Europe
Belgium	2021	2021-4	2021-04-27	Pfizer/BioNTech	2785593	Europe
Belgium	2021	2021-5	2021-05-04	Johnson&Johnson	23224	Europe
Belgium	2021	2021-5	2021-05-04	Moderna	341226	Europe
Belgium	2021	2021-5	2021-05-04	Oxford/AstraZeneca	996334	Europe
Belgium	2021	2021-5	2021-05-04	Pfizer/BioNTech	3335693	Europe
Belgium	2021	2021-5	2021-05-11	Johnson&Johnson	28654	Europe
Belgium	2021	2021-5	2021-05-11	Moderna	394854	Europe
Belgium	2021	2021-5	2021-05-11	Oxford/AstraZeneca	1088748	Europe
Belgium	2021	2021-5	2021-05-11	Pfizer/BioNTech	3785133	Europe
Belgium	2021	2021-5	2021-05-18	Johnson&Johnson	48365	Europe
Belgium	2021	2021-5	2021-05-18	Moderna	495928	Europe
Belgium	2021	2021-5	2021-05-18	Oxford/AstraZeneca	1353777	Europe
Belgium	2021	2021-5	2021-05-18	Pfizer/BioNTech	4147170	Europe
Belgium	2021	2021-5	2021-05-25	Johnson&Johnson	71065	Europe
Belgium	2021	2021-5	2021-05-25	Moderna	569499	Europe
Belgium	2021	2021-5	2021-05-25	Oxford/AstraZeneca	1448481	Europe
Belgium	2021	2021-5	2021-05-25	Pfizer/BioNTech	4580934	Europe
Belgium	2021	2021-6	2021-06-01	Johnson&Johnson	84839	Europe
Belgium	2021	2021-6	2021-06-01	Moderna	612303	Europe
Belgium	2021	2021-6	2021-06-01	Oxford/AstraZeneca	1500122	Europe
Belgium	2021	2021-6	2021-06-01	Pfizer/BioNTech	4785347	Europe
Bulgaria	2020	2020-12	2020-12-29	Pfizer/BioNTech	0	Europe
Bulgaria	2021	2021-1	2021-01-05	Moderna	0	Europe
Bulgaria	2021	2021-1	2021-01-05	Pfizer/BioNTech	13473	Europe
Bulgaria	2021	2021-1	2021-01-12	Moderna	491	Europe
Bulgaria	2021	2021-1	2021-01-12	Pfizer/BioNTech	17962	Europe
Bulgaria	2021	2021-1	2021-01-19	Moderna	843	Europe
Bulgaria	2021	2021-1	2021-01-19	Pfizer/BioNTech	25300	Europe
Bulgaria	2021	2021-1	2021-01-26	Moderna	1053	Europe
Bulgaria	2021	2021-1	2021-01-26	Pfizer/BioNTech	40072	Europe
Bulgaria	2021	2021-2	2021-02-02	Moderna	2207	Europe
Bulgaria	2021	2021-2	2021-02-02	Oxford/AstraZeneca	10	Europe
Bulgaria	2021	2021-2	2021-02-02	Pfizer/BioNTech	54821	Europe
Bulgaria	2021	2021-2	2021-02-09	Moderna	3333	Europe
Bulgaria	2021	2021-2	2021-02-09	Oxford/AstraZeneca	2035	Europe
Bulgaria	2021	2021-2	2021-02-09	Pfizer/BioNTech	70020	Europe
Bulgaria	2021	2021-2	2021-02-16	Moderna	6446	Europe
Bulgaria	2021	2021-2	2021-02-16	Oxford/AstraZeneca	28947	Europe
Bulgaria	2021	2021-2	2021-02-16	Pfizer/BioNTech	83960	Europe
Bulgaria	2021	2021-2	2021-02-23	Moderna	10475	Europe
Bulgaria	2021	2021-2	2021-02-23	Oxford/AstraZeneca	97630	Europe
Bulgaria	2021	2021-2	2021-02-23	Pfizer/BioNTech	104340	Europe
Bulgaria	2021	2021-3	2021-03-02	Moderna	14820	Europe
Bulgaria	2021	2021-3	2021-03-02	Oxford/AstraZeneca	143932	Europe
Bulgaria	2021	2021-3	2021-03-02	Pfizer/BioNTech	129880	Europe
Bulgaria	2021	2021-3	2021-03-09	Moderna	16988	Europe
Bulgaria	2021	2021-3	2021-03-09	Oxford/AstraZeneca	174209	Europe
Bulgaria	2021	2021-3	2021-03-09	Pfizer/BioNTech	147683	Europe
Bulgaria	2021	2021-3	2021-03-16	Moderna	20921	Europe
Bulgaria	2021	2021-3	2021-03-16	Oxford/AstraZeneca	179029	Europe
Bulgaria	2021	2021-3	2021-03-16	Pfizer/BioNTech	168956	Europe
Bulgaria	2021	2021-3	2021-03-23	Moderna	34004	Europe
Bulgaria	2021	2021-3	2021-03-23	Oxford/AstraZeneca	206835	Europe
Bulgaria	2021	2021-3	2021-03-23	Pfizer/BioNTech	195704	Europe
Bulgaria	2021	2021-3	2021-03-30	Moderna	44809	Europe
Bulgaria	2021	2021-3	2021-03-30	Oxford/AstraZeneca	230180	Europe
Bulgaria	2021	2021-3	2021-03-30	Pfizer/BioNTech	228583	Europe
Bulgaria	2021	2021-4	2021-04-06	Moderna	59160	Europe
Bulgaria	2021	2021-4	2021-04-06	Oxford/AstraZeneca	238387	Europe
Bulgaria	2021	2021-4	2021-04-06	Pfizer/BioNTech	275118	Europe
Bulgaria	2021	2021-4	2021-04-13	Johnson&Johnson	0	Europe
Bulgaria	2021	2021-4	2021-04-13	Moderna	74318	Europe
Bulgaria	2021	2021-4	2021-04-13	Oxford/AstraZeneca	241707	Europe
Bulgaria	2021	2021-4	2021-04-13	Pfizer/BioNTech	322422	Europe
Bulgaria	2021	2021-4	2021-04-20	Johnson&Johnson	0	Europe
Bulgaria	2021	2021-4	2021-04-20	Moderna	93241	Europe
Bulgaria	2021	2021-4	2021-04-20	Oxford/AstraZeneca	247383	Europe
Bulgaria	2021	2021-4	2021-04-20	Pfizer/BioNTech	382650	Europe
Bulgaria	2021	2021-4	2021-04-27	Johnson&Johnson	0	Europe
Bulgaria	2021	2021-4	2021-04-27	Moderna	108865	Europe
Bulgaria	2021	2021-4	2021-04-27	Oxford/AstraZeneca	263756	Europe
Bulgaria	2021	2021-4	2021-04-27	Pfizer/BioNTech	452036	Europe
Bulgaria	2021	2021-5	2021-05-04	Johnson&Johnson	0	Europe
Bulgaria	2021	2021-5	2021-05-04	Moderna	122688	Europe
Bulgaria	2021	2021-5	2021-05-04	Oxford/AstraZeneca	300451	Europe
Bulgaria	2021	2021-5	2021-05-04	Pfizer/BioNTech	514960	Europe
Bulgaria	2021	2021-5	2021-05-11	Johnson&Johnson	398	Europe
Bulgaria	2021	2021-5	2021-05-11	Moderna	145571	Europe
Bulgaria	2021	2021-5	2021-05-11	Oxford/AstraZeneca	364379	Europe
Bulgaria	2021	2021-5	2021-05-11	Pfizer/BioNTech	606439	Europe
Bulgaria	2021	2021-5	2021-05-18	Johnson&Johnson	2629	Europe
Bulgaria	2021	2021-5	2021-05-18	Moderna	165767	Europe
Bulgaria	2021	2021-5	2021-05-18	Oxford/AstraZeneca	401422	Europe
Bulgaria	2021	2021-5	2021-05-18	Pfizer/BioNTech	690983	Europe
Bulgaria	2021	2021-5	2021-05-25	Johnson&Johnson	6276	Europe
Bulgaria	2021	2021-5	2021-05-25	Moderna	181502	Europe
Bulgaria	2021	2021-5	2021-05-25	Oxford/AstraZeneca	411232	Europe
Bulgaria	2021	2021-5	2021-05-25	Pfizer/BioNTech	754371	Europe
Bulgaria	2021	2021-6	2021-06-01	Johnson&Johnson	11041	Europe
Bulgaria	2021	2021-6	2021-06-01	Moderna	181502	Europe
Bulgaria	2021	2021-6	2021-06-01	Oxford/AstraZeneca	411232	Europe
Bulgaria	2021	2021-6	2021-06-01	Pfizer/BioNTech	754371	Europe
Chile	2020	2020-12	2020-12-24	Pfizer/BioNTech	420	America
Chile	2020	2020-12	2020-12-25	Pfizer/BioNTech	5198	America
Chile	2020	2020-12	2020-12-26	Pfizer/BioNTech	8338	America
Chile	2020	2020-12	2020-12-27	Pfizer/BioNTech	8649	America
Chile	2020	2020-12	2020-12-28	Pfizer/BioNTech	8649	America
Chile	2020	2020-12	2020-12-29	Pfizer/BioNTech	8649	America
Chile	2020	2020-12	2020-12-30	Pfizer/BioNTech	8649	America
Chile	2020	2020-12	2020-12-31	Pfizer/BioNTech	8649	America
Chile	2021	2021-1	2021-01-01	Pfizer/BioNTech	8649	America
Chile	2021	2021-1	2021-01-02	Pfizer/BioNTech	8649	America
Chile	2021	2021-1	2021-01-03	Pfizer/BioNTech	8649	America
Chile	2021	2021-1	2021-01-04	Pfizer/BioNTech	9054	America
Chile	2021	2021-1	2021-01-05	Pfizer/BioNTech	10497	America
Chile	2021	2021-1	2021-01-06	Pfizer/BioNTech	10702	America
Chile	2021	2021-1	2021-01-07	Pfizer/BioNTech	10702	America
Chile	2021	2021-1	2021-01-08	Pfizer/BioNTech	10702	America
Chile	2021	2021-1	2021-01-09	Pfizer/BioNTech	10702	America
Chile	2021	2021-1	2021-01-10	Pfizer/BioNTech	10702	America
Chile	2021	2021-1	2021-01-11	Pfizer/BioNTech	10702	America
Chile	2021	2021-1	2021-01-12	Pfizer/BioNTech	10702	America
Chile	2021	2021-1	2021-01-13	Pfizer/BioNTech	11732	America
Chile	2021	2021-1	2021-01-14	Pfizer/BioNTech	18646	America
Chile	2021	2021-1	2021-01-15	Pfizer/BioNTech	22077	America
Chile	2021	2021-1	2021-01-16	Pfizer/BioNTech	22167	America
Chile	2021	2021-1	2021-01-17	Pfizer/BioNTech	22167	America
Chile	2021	2021-1	2021-01-18	Pfizer/BioNTech	33203	America
Chile	2021	2021-1	2021-01-19	Pfizer/BioNTech	52559	America
Chile	2021	2021-1	2021-01-20	Pfizer/BioNTech	61862	America
Chile	2021	2021-1	2021-01-21	Pfizer/BioNTech	64922	America
Chile	2021	2021-1	2021-01-22	Pfizer/BioNTech	65334	America
Chile	2021	2021-1	2021-01-23	Pfizer/BioNTech	65334	America
Chile	2021	2021-1	2021-01-24	Pfizer/BioNTech	65334	America
Chile	2021	2021-1	2021-01-25	Pfizer/BioNTech	66754	America
Chile	2021	2021-1	2021-01-26	Pfizer/BioNTech	67370	America
Chile	2021	2021-1	2021-01-27	Pfizer/BioNTech	67405	America
Chile	2021	2021-1	2021-01-28	Pfizer/BioNTech	67405	America
Chile	2021	2021-1	2021-01-29	Pfizer/BioNTech	67410	America
Chile	2021	2021-1	2021-01-30	Pfizer/BioNTech	67411	America
Chile	2021	2021-1	2021-01-31	Pfizer/BioNTech	67411	America
Chile	2021	2021-2	2021-02-01	Pfizer/BioNTech	67411	America
Chile	2021	2021-2	2021-02-02	Pfizer/BioNTech	67417	America
Chile	2021	2021-2	2021-02-02	Sinovac	13181	America
Chile	2021	2021-2	2021-02-03	Pfizer/BioNTech	67417	America
Chile	2021	2021-2	2021-02-03	Sinovac	183541	America
Chile	2021	2021-2	2021-02-04	Pfizer/BioNTech	69545	America
Chile	2021	2021-2	2021-02-04	Sinovac	357545	America
Chile	2021	2021-2	2021-02-05	Pfizer/BioNTech	70233	America
Chile	2021	2021-2	2021-02-05	Sinovac	526197	America
Chile	2021	2021-2	2021-02-06	Pfizer/BioNTech	70238	America
Chile	2021	2021-2	2021-02-06	Sinovac	554047	America
Chile	2021	2021-2	2021-02-07	Pfizer/BioNTech	70240	America
Chile	2021	2021-2	2021-02-07	Sinovac	562681	America
Chile	2021	2021-2	2021-02-08	Pfizer/BioNTech	82026	America
Chile	2021	2021-2	2021-02-08	Sinovac	784131	America
Chile	2021	2021-2	2021-02-09	Pfizer/BioNTech	101491	America
Chile	2021	2021-2	2021-02-09	Sinovac	1026503	America
Chile	2021	2021-2	2021-02-10	Pfizer/BioNTech	109927	America
Chile	2021	2021-2	2021-02-10	Sinovac	1298917	America
Chile	2021	2021-2	2021-02-11	Pfizer/BioNTech	112997	America
Chile	2021	2021-2	2021-02-11	Sinovac	1549992	America
Chile	2021	2021-2	2021-02-12	Pfizer/BioNTech	113357	America
Chile	2021	2021-2	2021-02-12	Sinovac	1779073	America
Chile	2021	2021-2	2021-02-13	Pfizer/BioNTech	113391	America
Chile	2021	2021-2	2021-02-13	Sinovac	1808589	America
Chile	2021	2021-2	2021-02-14	Pfizer/BioNTech	113391	America
Chile	2021	2021-2	2021-02-14	Sinovac	1813055	America
Chile	2021	2021-2	2021-02-15	Pfizer/BioNTech	113392	America
Chile	2021	2021-2	2021-02-15	Sinovac	2078907	America
Chile	2021	2021-2	2021-02-16	Pfizer/BioNTech	113404	America
Chile	2021	2021-2	2021-02-16	Sinovac	2298906	America
Chile	2021	2021-2	2021-02-17	Pfizer/BioNTech	113404	America
Chile	2021	2021-2	2021-02-17	Sinovac	2486942	America
Chile	2021	2021-2	2021-02-18	Pfizer/BioNTech	113405	America
Chile	2021	2021-2	2021-02-18	Sinovac	2642184	America
Chile	2021	2021-2	2021-02-19	Pfizer/BioNTech	113405	America
Chile	2021	2021-2	2021-02-19	Sinovac	2784298	America
Chile	2021	2021-2	2021-02-20	Pfizer/BioNTech	113405	America
Chile	2021	2021-2	2021-02-20	Sinovac	2793937	America
Chile	2021	2021-2	2021-02-21	Pfizer/BioNTech	113405	America
Chile	2021	2021-2	2021-02-21	Sinovac	2795101	America
Chile	2021	2021-2	2021-02-22	Pfizer/BioNTech	125501	America
Chile	2021	2021-2	2021-02-22	Sinovac	2891140	America
Chile	2021	2021-2	2021-02-23	Pfizer/BioNTech	150350	America
Chile	2021	2021-2	2021-02-23	Sinovac	2960543	America
Chile	2021	2021-2	2021-02-24	Pfizer/BioNTech	178869	America
Chile	2021	2021-2	2021-02-24	Sinovac	3018289	America
Chile	2021	2021-2	2021-02-25	Pfizer/BioNTech	212578	America
Chile	2021	2021-2	2021-02-25	Sinovac	3070649	America
Chile	2021	2021-2	2021-02-26	Pfizer/BioNTech	242290	America
Chile	2021	2021-2	2021-02-26	Sinovac	3119310	America
Chile	2021	2021-2	2021-02-27	Pfizer/BioNTech	248551	America
Chile	2021	2021-2	2021-02-27	Sinovac	3123032	America
Chile	2021	2021-2	2021-02-28	Pfizer/BioNTech	248553	America
Chile	2021	2021-2	2021-02-28	Sinovac	3123385	America
Chile	2021	2021-3	2021-03-01	Pfizer/BioNTech	263395	America
Chile	2021	2021-3	2021-03-01	Sinovac	3246034	America
Chile	2021	2021-3	2021-03-02	Pfizer/BioNTech	294232	America
Chile	2021	2021-3	2021-03-02	Sinovac	3386480	America
Chile	2021	2021-3	2021-03-03	Pfizer/BioNTech	312751	America
Chile	2021	2021-3	2021-03-03	Sinovac	3679792	America
Chile	2021	2021-3	2021-03-04	Pfizer/BioNTech	321810	America
Chile	2021	2021-3	2021-03-04	Sinovac	3981195	America
Chile	2021	2021-3	2021-03-05	Pfizer/BioNTech	327550	America
Chile	2021	2021-3	2021-03-05	Sinovac	4273202	America
Chile	2021	2021-3	2021-03-06	Pfizer/BioNTech	327894	America
Chile	2021	2021-3	2021-03-06	Sinovac	4306632	America
